Student ID,Student Name,Student Email,Student Phone Number,Student Gender,Mathematics Marks,Programming Marks,Database Marks,Statistics Marks,AI Marks,Student Behaviour,Assignment Record,Other Activities,Attendance (%),Study Hours (per day),Academic Risk
STU001,Anushka Singh,anushka.singh1@studentmail.com,7607654919,Female,46,49,46,50,47,Poor,Incomplete,Not Present,76,1,High Risk
STU002,Mayur Shinde,mayur.shinde2@studentmail.com,9883270233,Male,45,55,43,52,27,Poor,Incomplete,Not Present,65,3,High Risk
STU003,Tushar Salunkhe,tushar.salunkhe3@studentmail.com,8008647315,Male,20,20,20,20,23,Poor,Incomplete,Present,50,1,High Risk
STU004,Harshada Jadhav,harshada.jadhav4@studentmail.com,8962534401,Female,45,57,40,52,50,Average,Complete,Present,66,1,High Risk
STU005,Shubham Kulkarni,shubham.kulkarni5@studentmail.com,8908212968,Male,47,58,53,48,63,Poor,Complete,Present,85,4,Medium Risk
STU006,Dipali Gupta,dipali.gupta6@studentmail.com,8735215696,Female,51,63,55,53,56,Poor,Incomplete,Present,86,4,Medium Risk
STU007,Shreya Chavan,shreya.chavan7@studentmail.com,8163160197,Female,65,38,60,59,61,Good,Complete,Present,82,2,Medium Risk
STU008,Ajinkya Kadam,ajinkya.kadam8@studentmail.com,7241009588,Male,61,56,46,44,42,Good,Incomplete,Present,78,4,Medium Risk
STU009,Swara Kulkarni,swara.kulkarni9@studentmail.com,7145344690,Female,52,52,50,45,44,Poor,Complete,Present,82,3,Medium Risk
STU010,Prathamesh Deshmukh,prathamesh.deshmukh10@studentmail.com,9648387643,Male,69,77,60,65,64,Average,Complete,Present,92,4,Low Risk
STU011,Darshan Gupta,darshan.gupta11@studentmail.com,7039162850,Male,58,53,33,44,52,Average,Incomplete,Present,84,4,High Risk
STU012,Vaibhav Bhide,vaibhav.bhide12@studentmail.com,7220419259,Male,20,20,25,26,25,Poor,Incomplete,Not Present,51,1,High Risk
STU013,Sahil Kulkarni,sahil.kulkarni13@studentmail.com,7820692073,Male,52,60,60,64,75,Excellent,Complete,Not Present,80,6,Medium Risk
STU014,Manasi Chavan,manasi.chavan14@studentmail.com,8599911922,Female,40,43,39,43,38,Poor,Incomplete,Not Present,74,4,High Risk
STU015,Kedar Dhumal,kedar.dhumal15@studentmail.com,8500960157,Male,56,72,64,75,73,Good,Complete,Present,85,5,Low Risk
STU016,Janhavi Jadhav,janhavi.jadhav16@studentmail.com,7556587953,Female,72,69,78,74,76,Excellent,Complete,Present,80,6,Low Risk
STU017,Aditi Kale,aditi.kale17@studentmail.com,9138886312,Female,52,55,62,58,63,Good,Incomplete,Present,80,4,Medium Risk
STU018,Ritika Gore,ritika.gore18@studentmail.com,8681069046,Female,60,75,69,71,67,Excellent,Complete,Present,90,6,Low Risk
STU019,Aarohi Gore,aarohi.gore19@studentmail.com,7008871926,Female,70,74,81,76,63,Excellent,Complete,Present,90,5,Low Risk
STU020,Ajinkya Naik,ajinkya.naik20@studentmail.com,8122867751,Male,44,39,36,33,36,Poor,Incomplete,Present,70,2,High Risk
STU021,Manasi Salunkhe,manasi.salunkhe21@studentmail.com,8509047131,Female,52,53,62,57,64,Average,Incomplete,Present,80,4,Medium Risk
STU022,Chaitali More,chaitali.more22@studentmail.com,7297837926,Female,48,66,58,51,54,Average,Complete,Not Present,70,4,Medium Risk
STU023,Janhavi Wagh,janhavi.wagh23@studentmail.com,9412107383,Female,42,49,34,23,46,Poor,Incomplete,Not Present,70,2,High Risk
STU024,Prachi Naik,prachi.naik24@studentmail.com,8347779637,Female,95,70,77,70,81,Excellent,Complete,Present,94,6,Low Risk
STU025,Onkar Jadhav,onkar.jadhav25@studentmail.com,9181215871,Male,50,46,47,43,25,Poor,Incomplete,Present,67,2,High Risk
STU026,Onkar Kale,onkar.kale26@studentmail.com,9356964401,Male,31,38,53,41,35,Poor,Incomplete,Present,60,1,High Risk
STU027,Akash Bhide,akash.bhide27@studentmail.com,8644553238,Male,57,69,54,45,52,Average,Complete,Present,88,5,Low Risk
STU028,Vidya Joshi,vidya.joshi28@studentmail.com,8975990341,Female,84,69,77,63,61,Good,Complete,Not Present,79,6,Low Risk
STU029,Bhakti Joshi,bhakti.joshi29@studentmail.com,9492649114,Female,47,44,51,49,43,Poor,Incomplete,Not Present,58,2,High Risk
STU030,Vikram Nimbalkar,vikram.nimbalkar30@studentmail.com,7487113792,Male,55,44,31,38,43,Poor,Incomplete,Present,75,4,High Risk
STU031,Mayur Dhumal,mayur.dhumal31@studentmail.com,8278603799,Male,67,63,52,61,53,Good,Incomplete,Present,77,4,Medium Risk
STU032,Utkarsh More,utkarsh.more32@studentmail.com,7400594420,Male,44,34,40,21,31,Poor,Incomplete,Present,70,1,High Risk
STU033,Snehal Bhosale,snehal.bhosale33@studentmail.com,8897350066,Female,51,55,34,47,30,Poor,Incomplete,Not Present,68,2,High Risk
STU034,Yash Deshmukh,yash.deshmukh34@studentmail.com,8199203237,Male,45,37,46,39,57,Poor,Incomplete,Present,68,4,High Risk
STU035,Shruti Kumar,shruti.kumar35@studentmail.com,7998340141,Female,47,39,58,38,58,Poor,Incomplete,Present,75,4,High Risk
STU036,Gayatri Gaikwad,gayatri.gaikwad36@studentmail.com,9575771159,Female,50,61,50,59,57,Poor,Incomplete,Not Present,75,4,High Risk
STU037,Siddharth Dhumal,siddharth.dhumal37@studentmail.com,9205363219,Male,76,72,85,78,75,Excellent,Complete,Present,93,5,Low Risk
STU038,Sonali Naik,sonali.naik38@studentmail.com,8961351178,Female,67,74,73,70,58,Good,Complete,Present,90,5,Low Risk
STU039,Akash Kadam,akash.kadam39@studentmail.com,8172416727,Male,45,60,53,55,70,Good,Complete,Present,70,2,Medium Risk
STU040,Sayali Sawant,sayali.sawant40@studentmail.com,7133902720,Female,49,41,50,52,44,Good,Complete,Not Present,77,4,Medium Risk
STU041,Nikhil Kale,nikhil.kale41@studentmail.com,8730168735,Male,63,59,65,61,74,Excellent,Complete,Present,85,4,Low Risk
